Altium Designer Pick and Place Locations
C:\MyFiles\x-io\Products\x-IMU3\x-IMU3-SA-IMU\PCB\Project Outputs for x-IMU3-SA-IMU\Pick Place\Pick Place for x-IMU3-SA-IMU.csv

========================================================================================================================
File Design Information:

Date:       25/08/26
Time:       16:36
Revision:   3b604398b3ac96e028bdf33140b61e39242786eb
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Comment"
"C4","4.0000mm","2.5000mm","BottomLayer","270","2.2uF"
"C3","6.0000mm","1.0000mm","BottomLayer","180","100nF"
"U2","6.5000mm","3.5000mm","BottomLayer","180","ICM-45686"
"U1","6.0000mm","8.0000mm","BottomLayer","180","PIC32MM0064GPL020-I/ML"
"R2","7.5000mm","11.5000mm","BottomLayer","180","10kR"
"R1","10.2500mm","6.0000mm","BottomLayer","270","470R"
"J2","11.9600mm","10.0000mm","BottomLayer","180","DNP"
"J1","11.5000mm","6.0000mm","TopLayer","180","SP-3533-02"
"C2","4.0000mm","4.5000mm","BottomLayer","90","10uF"
"C1","5.5000mm","11.5000mm","BottomLayer","0","100nF"
